Ware House ,CATegory ,trepco #,DESC,STD Unite of Meassur ,UM1,UM1 X,UM2,UM2 X,UM3,UM3 X,VENDer's  ITEM #,UPC1 EA,UPC2 BX / CS,UPC3  CS
1,50,516245,QUEST HERO BAR CHOC PNTBTR,2,EA,1,BOX,10,CSE,6,QHBCPB10M6,888849010936,888849010950,10888849010957
1,50,512541,QUEST PROTEIN COOKIE CHOC CHIP 2.08,2,EA,1,BOX,12,CSE,6,673953,00888849005994,888849006090,10888849006097
1,50,512533,QUEST PROTEIN COOKIE PNTBTR 2.08Z,2,EA,1,BOX,12,CSE,6,673952,00888849006038,888849006052,10888849006059
1,50,597349,HOLA SALADITOS AGRIDULCE 12ct,2,EAC,1,BX,12,CAS,12,9738200004,097832000049,097832000049,
1,50,597350,HOLA SALADITOS CHAMOY ROJO 12c,2,EAC,1,BX,12,CAS,12,9738200057,097832000575,097832000575,097832001152
1,50,597347,HOLA SALADITOS CON LIMON 12ct,2,EAC,1,BX,12,CAS,12,9738200001,097832000018,097832000018,
1,50,597348,HOLA SALADITOS PICOSO 12ct,2,EAC,1,BX,12,CAS,12,9738200108,097832001084,097832001084,
1,50,597352,HOLA SALADO ENMIELADO 12ct,2,EAC,1,BX,12,CAS,12,973820005,097832000056,097832000056,
1,50,597351,HOLA SALADO FRESCO 12ct,2,EAC,1,BX,12,CAS,12,9738200003,097832000032,097832000032,
1,50,597354,HOLA SALADO NARANJA 12ct,2,EAC,1,BX,12,CAS,12,9738200006,097832000063,097832000063,
1,50,597353,HOLA SALSA CHAMOY 6.3Z,1,EAC,1,CAS,24,,1,9738200054,097832000537,097832000544,
1,50,597357,HOLA TROPICOSO 12ct,2,EAC,1,BX,12,CSE,12,9783200115,097832001152,097832001152,
1,50,506493,CHOCOLATE LIQUOR BOTTLES VSC,2,EA,1,BOX,24,CSE,8,1030,013413210300,013413010306,013413013008
1,50,514885,EFRUTTI HOT DOG DRC,2,EAC,1,BX,60,CAS,8,5051,813805005046,813805005053,30813805005054
1,50,514877,EFRUTTI MINI BURGER DRC,2,EAC,1,BX,60,CAS,8,5011,813805005008,813805005015,30813805005016
1,50,514901,EFRUTTI MINI BURGER SHARE SIZE,2,EAC,1,BX,12,CAS,12,4011,813805994111,813805004117,30813805994112
1,50,514893,EFRUTTI PIZZA DRC,2,EAC,1,BX,48,CAS,8,5071,813805005060,813805005077,30813805005078
1,50,514919,EFRUTTI PIZZA PARTY SHARE SIZE,2,EAC,1,BX,12,CAS,12,4071,813805994715,813805004711,30813805994716
1,50,500751,HOT TAMALES 1.8Z BAG 24CT,2,EA,1,BOX,24,CSE,12,46181,070970000270,070970410277,00070970461811
1,50,597454,HOT TAMALES 5z THEATRE BOX 12CT,2,EAC,1,BX,12,CSE,1,49131,070970471230,10070970491310,
1,50,513374,MIKE & IKE MEGA MIX 5oz 12ct,2,EAC,1,CSE,12,,1,49356,070970473562,00070970493560,
1,50,501122,MIKE & IKE ORIGINAL 1.8OZ,2,EA,1,BOX,24,CSE,12,46180,070970000324,070970410321,00070970461804
1,50,597458,MIKE & IKE ORIGINAL 5oz 12ct,2,EAC,1,CSE,12,,1,49133,070970471254,070970491334,
1,50,517920,MIKE & IKE TROP TYPHOON 1.8Z,2,EA,1,BOX,24,CSE,12,46182,070970405020,070970415029,00070970461828
1,50,519108,MIKE AND IKE BERRY BLAST,2,EA,1,BOX,24,CSE,12,46183,070970400094,070970410291,00070970461835
1,50,537447,KELL SPEC K BAR BERRY MEDLEY,2,EAC,1,BX,12,CSE,8,12519,038000124211,038000125201,00038000125195
1,50,500181,KELL SPEC K MEAL BAR CHOC CARAMEL,2,EA,1,BOX,8,CSE,6,56388,038000000553,038000563904,00038000563881
1,50,504548,KELL SPEC K MEAL BAR CHOC CHIP,2,EA,1,BOX,8,CSE,6,34386,038000000010,038000343872,00038000343865
1,50,504472,KELL SPEC K MEAL BAR CHOC PNUT BTR,2,EA,1,BOX,8,CSE,6,29189,038000000102,038000291906,00038000291890
1,50,504480,KELL SPEC K MEAL BAR DOUBLE CHOC,2,EA,1,BOX,8,CSE,6,29187,038000000126,038000291883,00038000291876
1,50,504530,KELL SPEC K MEAL BAR STRAWBERRY,2,EA,1,BOX,8,CSE,6,29185,038000000119,038000291869,00038000291852
1,50,515098,KELL SPEC K MEAL PROT BAR PRETZEL,2,EA,1,BOX,6,CSE,6,,038000007354,00038000186158,
1,50,500157,KELL SPEC K PASTRY CRISPS BLUEBERRY,2,EA,1,BOX,9,CSE,9,56925,038000490620,038000569265,00038000569258
1,50,500165,KELL SPEC K PASTRY CRISPS STRAWBERY,2,EA,1,BOX,9,CSE,9,56923,038000490668,038000569241,00038000569234
1,50,523985,NUTRI-GRAIN APPLE CINNAMON 16'S,2,EA,1,BOX,16,CSE,3,35645,038000356216,038000356483,00038000356452
1,50,524009,NUTRI-GRAIN BLUEBERRY 16'S,2,EA,1,BOX,16,CSE,3,35745,038000357213,038000357480,00038000357459
1,50,526038,NUTRI-GRAIN RASPBERRY 16'S,2,EA,1,BOX,16,CSE,3,35845,038000358210,038000358487,00038000358456
1,50,524025,NUTRI-GRAIN STRAWBERRY 16'S,2,EA,1,BOX,16,CSE,3,296686,038000359217,038000359484,00038000359453
1,50,567313,KIND ALMOND & APRICOT,2,EA,1,BOX,12,CSE,6,673723,602652170058,602652171253,00602652178252
1,50,567339,KIND ALMOND & COCONUT,2,EA,1,BOX,12,CSE,6,17828,602652170089,602652171284,00602652178283
