Category Code,Category Description,Retail UPC,Case UPC,GTIN, Vendor Item Number,Pack,Size,Description
,MM 100 SF GF CHOC,876063005654,876063005654,,147062 ,PPK12,14OZ PL ,MM 100 SF GF CHOC
,MM 100 SF GF VANC,876063005647,876063005647,,147063 ,PPK12,14OZ PL ,MM 100 SF GF VANC
,OS APL 100,012000071751,012000071751,,123365 ,PPK12,15.2OZ PL ,OS APL 100
,OS CRAN,012000021367,012000021367,,70191 ,PPK12,15.2OZ PL ,OS CRAN
,OS CRAN GRP,012000021381,012000021381,,70193 ,PPK12,15.2OZ PL ,OS CRAN GRP
,OS CRAN LMND,012000041037,012000041037,,137959 ,PPK12,15.2OZ PL ,OS CRAN LMND
,OS CRAN POM,012000032127,012000032127,,109418 ,PPK12,15.2OZ PL ,OS CRAN POM
,OS KW STW,012000071768,012000071768,,123371 ,PPK12,15.2OZ PL ,OS KW STW
,OS ORG 100,012000071744,012000071744,,123367 ,PPK12,15.2OZ PL ,OS ORG 100
,OS PNAP PCH MGO,012000071775,012000071775,,123373 ,PPK12,15.2OZ PL ,OS PNAP PCH MGO
,OS RR GPFT,012000071782,012000071782,,123375 ,PPK12,15.2OZ PL ,OS RR GPFT
,Rockstar Roasted Expresso Latte w/ Almond,818094003773,818094003773,,145983 ,PPK12,15OZ CN 1/12,Rockstar Roasted Expresso Latte w/ Almond
,Rockstar Roasted Light Vanilla w/ Almond,818094003797,818094003797,,145984 ,PPK12,15OZ CN 1/12,Rockstar Roasted Light Vanilla w/ Almond
,Rockstar Roasted White Chocolate w/ Almond,818094003759,818094003759,,145985 ,PPK12,15OZ CN 1/12,Rockstar Roasted White Chocolate w/ Almond
,RKSTR HRCHATA,818094003834,818094003834,,147105 ,PPK12,15OZ CN 1/12,RKSTR HRCHATA
,RKSTR RSTD LAT,818094002714,818094002714,,122562 ,PPK12,15OZ CN ,RKSTR RSTD LAT
,RKSTR RSTD LT VAN,818094002516,818094002516,,122563 ,PPK12,15OZ CN ,RKSTR RSTD LT VAN
,RKSTR RSTD MCHA,818094002615,818094002615,,122564 ,PPK12,15OZ CN ,RKSTR RSTD MCHA
,ROCKSTAR Organic Strawberry,818094004657,818094004657,,160247 ,PPK24,15OZ CN ,ROCKSTAR Organic Strawberry
,STRBK DS EC WT CH,012000038488,012000038488,,132858 ,PPK12,15OZ CN ,STRBK DS EC WT CH
,STRBK DSE COF,012000028472,012000028472,,106007 ,PPK12,15OZ CN ,STRBK DSE COF
,STRBK DSE MCHA,012000028458,012000028458,,106008 ,PPK12,15OZ CN ,STRBK DSE MCHA
,STRBCKS DS E MXMC,012000151828,012000151828,,154950 ,PPK12,15OZ CN ,STRBCKS DS E MXMC
,STRBK DS E SP VAN,012000151743,012000151743,,154951 ,PPK12,15OZ CN ,STRBK DS E SP VAN
,STRBK DSE VAN,012000028496,012000028496,,106009 ,PPK12,15OZ CN ,STRBK DSE VAN
,STRBK DSE LT VAN,012000033186,012000033186,,120601 ,PPK12,15OZ CN ,STRBK DSE LT VAN
,AMP BST,012000016431,012000016431,,94128 ,PPK12,16OZ CN ,AMP BST
,AMP BST CHE,012000126352,012000126352,,133973 ,PPK12,16OZ CN ,AMP BST CHE
,AMP ENRG TRP PNCH,012000160202,012000160202,,158035 ,PPK12,16OZ CN ,AMP ENRG TRP PNCH
,AMP SF BST,012000021183,012000021183,,70007 ,PPK12,16OZ CN ,AMP SF BST
,CRSH ORG,078000019339,078000019339,,144369,PPK12,16OZ CN ,CRSH ORG
,CRSH GRP,078000019353,078000019353,,152717,PPK12,16OZ CN ,CRSH GRP
,SCHW GALE,078000019889,078000019889,,150083,PPK12,16OZ CN ,SCHW GALE
,DT PEPSI,012000030307,012000030307,,132256 ,PPK12,16OZ CN ,DT PEPSI
,DT PEPSI,012000171710,012000171710,,132256 ,PPK12,16OZ CN ,DT PEPSI
,MDEW,012000027215,012000027215,,132258 ,PPK12,16OZ CN ,MDEW
,PEPSI,012000030284,012000030284,,132261 ,PPK12,16OZ CN ,PEPSI
,MDEW KS MGO LM,012000162152,012000162152,,161617 ,PPK12,16OZ CN ,MDEW KS MGO LM
,MDEW KCKSTRT FP,012000110467,012000110467,,137569 ,PPK12,16OZ CN ,MDEW KCKSTRT FP
,MDEW KSTRT MD GRP,012000151163,012000151163,,154696 ,PPK12,16OZ CN ,MDEW KSTRT MD GRP
,MDEW KCKSTRT OC,012000110443,012000110443,,137570 ,PPK12,16OZ CN ,MDEW KCKSTRT OC
,RKSTR HDCR APL,818094004770,818094004770,,160245 ,PPK24,16OZ CN ,RKSTR HDCR APL
,RKSTR RV KL BLCHE,818094005050,818094005050,,159978 ,PPK24,16OZ CN ,RKSTR RV KL BLCHE
,RKSTR RVLT KLR GR,818094007283,818094007283,,159740 ,PPK24,16OZ CN ,RKSTR RVLT KLR GR
,RKSTR ENRG GNGR B,818094007368,818094007368,,155637 ,PPK24,16OZ CN ,RKSTR ENRG GNGR B
,RKSTR BLKOUT,818094007436,818094007436,,158316 ,PPK24,16OZ CN ,RKSTR BLKOUT
,RKSTR CNUT WTR,818094002844,818094002844,,132664 ,PPK24,16OZ CN ,RKSTR CNUT WTR
,RKSTR ENRG,818094000017,818094000017,,120721 ,PPK24,16OZ CN ,RKSTR ENRG
,RKSTR ENRG CLA,818094000093,818094000093,,123181 ,PPK24,16OZ CN ,RKSTR ENRG CLA
,RKSTR ICED,818094002066,818094002066,,133477 ,PPK24,16OZ CN ,RKSTR ICED
,RKSTR JCD GVA,818094000802,818094000802,,120727 ,PPK24,16OZ CN ,RKSTR JCD GVA
,RKSTR JCD MGO ORG,818094000505,818094000505,,120726 ,PPK24,16OZ CN ,RKSTR JCD MGO ORG
,RKSTR JCD POM,818094000901,818094000901,,120728 ,PPK24,16OZ CN ,RKSTR JCD POM
,RKSTR PNCHD,818094003001,818094003001,,120725 ,PPK24,16OZ CN ,RKSTR PNCHD
,RKSTR PNCHD CIT,818094003131,818094003131,,120737 ,PPK24,16OZ CN ,RKSTR PNCHD CIT
,RKSTR PNCHD GVA,818094000383,818094000383,,136898 ,PPK24,16OZ CN ,RKSTR PNCHD GVA
,RKSTR RCVR T LMND,818094000468,818094000468,,137509 ,PPK24,16OZ CN ,RKSTR RCVR T LMND
,RKSTR RECVRY,818094002080,818094002080,,123179 ,PPK24,16OZ CN ,RKSTR RECVRY
,RKSTR RECVRY GRP,818094002806,818094002806,,128954 ,PPK24,16OZ CN ,RKSTR RECVRY GRP
,RKSTR RECVRY ORG,818094002905,818094002905,,128956 ,PPK24,16OZ CN ,RKSTR RECVRY ORG
,RKSTR SF,818094000024,818094000024,,120722 ,PPK24,16OZ CN ,RKSTR SF
,RKSTR SPR SR GAPL,818094002554,818094002554,,138162 ,PPK24,16OZ CN ,RKSTR SPR SR GAPL
,RKSTR SPR SR BBRY,818094002592,818094002592,,137510 ,PPK24,16OZ CN ,RKSTR SPR SR BBRY
,RKSTR XDRNC,818094002257,818094002257,,132777 ,PPK24,16OZ CN ,RKSTR XDRNC
,RKSTR ZRO CRB,818094000703,818094000703,,120724 ,PPK24,16OZ CN ,RKSTR ZRO CRB
,RKSTR FRZ FRZN LM,818094003902,818094003902,,148400 ,PPK24,16OZ CN ,RKSTR FRZ FRZN LM
,RKSTR ENRG CMBRLM,818094004206,818094004206,,150038 ,PPK24,16OZ CN ,RKSTR ENRG CMBRLM
,RKSTR PRZR WM7/11,818094007139,818094007139,,152070 ,PPK24,16OZ CN ,RKSTR PRZR WM7/11
,RKSTR RVLT KLR CT,818094003926,818094003926,,154851 ,PPK24,16OZ CN ,RKSTR RVLT KLR CT
,RKSTR FRZ PCLDA,818094004152,818094004152,,148401 ,PPK24,16OZ CN ,RKSTR FRZ PCLDA
,RKSTR ENR BOOM WHIPPED STRAWBERRY,818094004176,818094004176,,150844 ,PPK24,16OZ CN ,RKSTR ENR BOOM WHIPPED STRAWBERRY
,RKSTR ENR BOOM WHIPPED ORANGE,818094004107,818094004107,,150843 ,PPK24,16OZ CN ,RKSTR ENR BOOM WHIPPED ORANGE
,LIT PLF POM,012000044304,012000044304,,145376 ,PPK12,18.5OZ PL ,LIT PLF POM
,LPT PLF IT MNT,012000160677,012000160677,,159522 ,PPK12,18.5OZ PL ,LPT PLF IT MNT
,LIT PLF EXSWT,012000286179,012000286179,,134082 ,PPK12,18.5OZ PL ,LIT PLF EXSWT
,LIT PLF GT HNY,012000286162,012000286162,,134075 ,PPK12,18.5OZ PL ,LIT PLF GT HNY
,LIT PLF NTS GTH,012000041174,012000041174,,137642 ,PPK12,18.5OZ PL ,LIT PLF NTS GTH
,LIT PLF PCH,012000286216,012000286216,,134076 ,PPK12,18.5OZ PL ,LIT PLF PCH
,LIT PLF RAZ,012000286223,012000286223,,134074 ,PPK12,18.5OZ PL ,LIT PLF RAZ
