10475,,,,,
Forecasted Items,,,,,
Generic PDCN,Brand Family,Brand,Container,UPC Unit,UPC Case
117J940,BASS,BASS PALE ALE N,1/2 BARREL SV,75345012216,0
117JFF2,BASS,BASS PALE ALE N,24/12 NRLN 2/12 TGTR APL,7.62274E+11,7.62274E+11
117JFF6,BASS,BASS PALE ALE N,24/12 NRLN 4/6 ET BSKT,7.62274E+11,7.62274E+11
117ORP9,BUDWEISER,RITAS FIZZ VARIETY PACK,24/12 AL SLEEK CAN 2/12,0,18200286384
117U030,NATURAL LIGHT,NATURAL LIGHT NATURDAYS STRAWBERRY/LEMON,30/12 AL CAN SP DSTK,18200001185,18200285233
117U246,NATURAL LIGHT,NATURAL LIGHT NATURDAYS STRAWBERRY/LEMON,24/12 AL CAN 2/12 SP CF,18200001185,18200285226
1184Y55,BUDWEISER,BUD LIGHT CHELADA MANGO,15/25 AL CAN SRINK,18200259760,18200285332
118TSS1,TEAVANA,TEAVANA SPARKLING BLOOD ORANGE MANGO WHI,12/14.5 T1NR,18200259852,18200285462
118W044,SHOCK TOP,SHOCK TOP ALE,24/16 AL CAN 6/4 SP TRAY,18200009013,18200961298
118W251,SHOCK TOP,SHOCK TOP ALE,15/25 AL CAN SRINK,18200255922,18200281570
118W940,SHOCK TOP,SHOCK TOP ALE,1/2 BARREL SV,18200001390,0
118W970,SHOCK TOP,SHOCK TOP ALE,1/6 BARREL SV,18200001383,0
118WH35,SHOCK TOP,SHOCK TOP ALE,30/12 AL CAN 2/15 SP CF,18200008443,0
118WMP3,SHOCK TOP,SHOCK TOP ALE,24/12 MRNR 2/12,18200008672,18200962967
118WMP6,SHOCK TOP,SHOCK TOP ALE,24/12 MRNR 4/6 ET BSKT,18200008672,18200963704
119F251,BUDWEISER,BUD LIGHT LIME,15/25 AL CAN SRINK,18200250095,18200960123
119FKT6,BUDWEISER,BUD LIGHT LIME,24/16 OZ CALNR 3/8 CF,18200002151,18200140259
119FLK1,BUDWEISER,BUD LIGHT LIME,18/12 AL SLEEK CAN SP,18200002236,18200962943
119FLK6,BUDWEISER,BUD LIGHT LIME,24/12 AL SLEEK CAN 2/12,18200002236,18200962936
119FLLA,BUDWEISER,BUD LIGHT LIME,24/12 LLNR 4/6 ET BSKT,18200001789,18200963230
119FLLB,BUDWEISER,BUD LIGHT LIME,24/12 LLNR 2/12 TGTR,18200001789,18200963247
119FLLC,BUDWEISER,BUD LIGHT LIME,18/12 LLNR BTL,18200001789,18200962929
